,loss,val_loss,rouge1,rouge2,rougeL,rougeLsum,gen_len,epoch;;;;
0,3.0440402030944824,2.873284101486206,18.675540965264325,3.665322580645161,12.578934663125217,16.073049889089038,17.6,0;;;;
1,2.608469247817993,2.854886054992676,21.32047390914511,6.080645161290324,15.86072066895411,20.227589970714774,18.8,1;;;;
2,2.2967240810394287,2.831633291244507,23.856113906948531,7.2659323367427224,17.691452600106235,21.340883658144646,19.0,2;;;;
;;;;
;;;;
